Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With BP,With PC,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Nodes Generated Initially,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC,Makespan,Throughput,Number of Collisions,Planner Time
PSIS Experiment Map,96372106,0,8,10737302,True,True,True,1.0,0.0053021907806396484,0.00393223762512207,1,3,341,341,0,341,341,341,0,max,341,Min Best Case,No Change,0,-1,-1,60,0.13333333333333333,0,0.006304502487182617
PSIS Experiment Map,96372106,0,8,10737303,True,True,True,1.0,0.015002012252807617,0.0040209293365478516,1,2,331,331,0,331,331,331,0,max,331,Min Best Case,No Change,0,-1,-1,85,0.09411764705882353,0,0.016248226165771484
PSIS Experiment Map,96372106,0,8,10737304,True,True,True,1.0,0.04854273796081543,0.004683494567871094,1,14,350,350,0,350,350,350,0,max,350,Min Best Case,No Change,0,-1,-1,60,0.13333333333333333,0,0.0497584342956543
PSIS Experiment Map,96372106,0,8,10737305,True,True,True,1.0,0.005972862243652344,0.003389120101928711,1,2,299,299,0,299,299,299,0,max,299,Min Best Case,No Change,0,-1,-1,70,0.11428571428571428,0,0.0069921016693115234
PSIS Experiment Map,96372106,0,8,10737306,True,True,True,1.0,0.006799221038818359,0.007191896438598633,1,2,273,273,0,273,273,273,0,max,273,Min Best Case,No Change,0,-1,-1,63,0.12698412698412698,0,0.011454343795776367
PSIS Experiment Map,96372106,0,8,10737307,True,True,True,1.0,0.002351045608520508,0.003979921340942383,1,1,251,251,0,251,251,251,0,max,251,Min Best Case,No Change,0,-1,-1,69,0.11594202898550725,0,0.00417637825012207
PSIS Experiment Map,96372106,0,8,10737308,True,True,True,1.0,0.01701211929321289,0.0041081905364990234,1,5,337,337,0,337,337,337,0,max,337,Min Best Case,No Change,0,-1,-1,64,0.125,0,0.01809096336364746
PSIS Experiment Map,96372106,0,8,10737309,True,True,True,1.0,0.012624502182006836,0.0029144287109375,1,2,232,232,0,232,232,232,0,max,232,Min Best Case,No Change,0,-1,-1,51,0.1568627450980392,0,0.013430356979370117
PSIS Experiment Map,96372106,0,8,10737310,True,True,True,1.0,0.07754325866699219,0.004488706588745117,1,17,317,317,0,317,317,317,0,max,317,Min Best Case,No Change,0,-1,-1,56,0.14285714285714285,0,0.07877969741821289
PSIS Experiment Map,96372106,0,8,10737311,True,True,True,1.0,0.002345561981201172,0.0037381649017333984,1,1,251,251,0,251,251,251,0,max,251,Min Best Case,No Change,0,-1,-1,63,0.12698412698412698,0,0.003549814224243164
PSIS Experiment Map,96372106,0,8,10737312,True,True,True,1.0,0.006195783615112305,0.0035064220428466797,1,1,293,293,0,293,293,293,0,max,293,Min Best Case,No Change,0,-1,-1,83,0.0963855421686747,0,0.007413625717163086
PSIS Experiment Map,96372106,0,8,10737313,True,True,True,1.0,0.008076190948486328,0.003312826156616211,1,2,283,283,0,283,283,283,0,max,283,Min Best Case,No Change,0,-1,-1,63,0.12698412698412698,0,0.009031295776367188
PSIS Experiment Map,96372106,0,8,10737314,True,True,True,1.0,0.011273384094238281,0.0026433467864990234,1,7,180,180,0,180,180,180,0,max,180,Min Best Case,No Change,0,-1,-1,38,0.21052631578947367,0,0.012179851531982422
PSIS Experiment Map,96372106,0,8,10737315,True,True,True,1.0,0.017173051834106445,0.004131793975830078,1,4,343,343,0,343,343,343,0,max,343,Min Best Case,No Change,0,-1,-1,59,0.13559322033898305,0,0.018398523330688477
PSIS Experiment Map,96372106,0,16,10737296,True,True,True,1.0,0.029043197631835938,0.009577274322509766,1,9,543,543,0,543,543,543,0,max,543,Min Best Case,No Change,0,543,543,58,0.27586206896551724,1,0.03313016891479492
PSIS Experiment Map,96372106,0,16,10737297,True,True,True,1.0,2.2432665824890137,0.012129068374633789,1,19,630,630,0,630,630,630,0,max,630,Min Best Case,No Change,0,627,627,68,0.23529411764705882,0,2.2489280700683594
PSIS Experiment Map,96372106,0,16,10737298,True,True,True,1.0,0.11913514137268066,0.00669407844543457,1,8,441,441,0,441,441,441,0,max,441,Min Best Case,No Change,0,441,441,53,0.3018867924528302,0,0.12176966667175293
PSIS Experiment Map,96372106,0,16,10737299,True,True,True,1.0,0.016411542892456055,0.0058612823486328125,1,6,454,454,0,454,454,454,0,max,454,Min Best Case,No Change,0,454,454,65,0.24615384615384617,0,0.01842522621154785
PSIS Experiment Map,96372106,0,16,10737300,True,True,True,1.0,1.1381678581237793,0.007614850997924805,1,7,492,492,0,492,492,492,0,max,492,Min Best Case,No Change,0,492,492,64,0.25,0,1.1412415504455566
PSIS Experiment Map,96372106,0,16,10737301,True,True,True,1.0,2.489439010620117,0.008194446563720703,1,12,637,637,0,637,637,637,0,max,637,Min Best Case,No Change,0,633,633,64,0.25,0,2.4918997287750244
PSIS Experiment Map,96372106,0,16,10737302,True,True,True,1.0,0.018805980682373047,0.007134199142456055,1,4,585,585,0,585,585,585,0,max,585,Min Best Case,No Change,0,584,584,60,0.26666666666666666,0,0.0209810733795166
